,listing_id,id,date,reviewer_id,comments
30290,724485,24960923,2015-01-04,24484960,3.0
30291,724485,25168003,2015-01-08,23639255,3.7
30292,724485,25382854,2015-01-14,23812939,3.5
30293,724485,25652346,2015-01-22,21290205,3.9
30294,724485,25837757,2015-01-27,17247638,3.7
30295,724485,26044756,2015-02-02,18317410,4.1
30296,724485,26176265,2015-02-06,2530320,3.0
30297,724485,26391667,2015-02-11,25410228,2.9
30298,724485,27157372,2015-02-27,13513634,3.7
30299,724485,27428215,2015-03-04,16208540,3.6
30300,724485,27710699,2015-03-10,23096541,3.7
30301,724485,28160965,2015-03-19,25710867,3.8
30302,724485,28618200,2015-03-27,28993998,3.9
30303,724485,28860127,2015-03-31,21488237,3.8
30304,724485,29387803,2015-04-07,26317799,3.6
30305,724485,29656590,2015-04-11,11892602,4.2
30306,724485,30011955,2015-04-16,20114935,3.0
30307,724485,30493051,2015-04-23,18164858,3.9
30308,724485,30753425,2015-04-27,24072508,4.0
30309,724485,31032689,2015-05-01,5831212,3.9
30310,724485,31568836,2015-05-07,13281014,3.6
30311,724485,31883551,2015-05-11,26413872,4.1
30312,724485,33352197,2015-05-27,11355367,3.9
30313,724485,33731467,2015-05-31,29543311,3.4
30314,724485,34050055,2015-06-04,5305025,4.0
30315,724485,34316182,2015-06-07,32342570,4.2
30316,724485,34618407,2015-06-10,24849553,3.0
30317,724485,35538900,2015-06-20,27467173,3.2
30318,724485,35997486,2015-06-24,22439190,3.8
30319,724485,36368027,2015-06-28,29074811,3.8
30320,724485,36941224,2015-07-03,24677381,4.1
30321,724485,37325150,2015-07-06,32493796,3.7
30322,724485,38252553,2015-07-14,5838247,4.0
30323,4362504,22045358,2014-10-28,16086535,2.6
30324,4362504,23527756,2014-12-03,22776144,3.0
30325,4362504,24469068,2014-12-29,22856088,3.6
30326,4362504,24784356,2015-01-02,20992015,3.3
30327,4362504,25247658,2015-01-10,14495939,3.0
30328,4362504,25604064,2015-01-20,25297619,3.1
30329,4362504,25932788,2015-01-30,25601982,3.6
30330,4362504,26068129,2015-02-02,26195984,3.0
30331,4362504,26299200,2015-02-09,21612578,3.9
30332,4362504,26621189,2015-02-16,9396644,3.1
30333,4362504,27364756,2015-03-02,782923,3.6
30334,4362504,27447761,2015-03-04,7947681,3.0
30335,4362504,27684298,2015-03-09,7947681,3.0
30336,4362504,28557688,2015-03-26,26164035,3.6
30337,4362504,28885278,2015-03-31,28352935,3.0
30338,4362504,37052089,2015-07-04,21321380,3.7
30339,4362504,38273873,2015-07-14,17537823,4.0
30340,5646117,29874378,2015-04-13,30169734,3.1
30341,1207614,5236134,2013-06-19,5116179,2.9
30342,1207614,5591415,2013-07-07,1607991,4.1
30343,1207614,5687477,2013-07-11,4038719,3.1
30344,1207614,5847490,2013-07-19,6814620,3.0
30345,1207614,6049207,2013-07-28,6818024,3.8
30346,1207614,6162138,2013-08-01,1198940,3.7
30347,1207614,6537617,2013-08-16,7476834,4.5
30348,1207614,6687302,2013-08-21,7305324,3.6
30349,1207614,6760637,2013-08-24,7717190,3.3
30350,1207614,7014964,2013-09-03,5830058,4.6
30351,1207614,7162971,2013-09-09,7779012,3.7
30352,1207614,7404390,2013-09-18,8705986,4.1
30353,1207614,7539234,2013-09-23,8630605,4.2
30354,1207614,7673959,2013-09-29,7749737,3.8
